,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
3426,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3291
3427,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,916
3429,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,42
3431,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2893
3435,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1717
3442,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1747
3444,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,7
3445,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3248
3454,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3645
3456,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,109
3459,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Getting off the vehicle improperly,2,3119
3460,Unknown,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,2,3118
3461,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,283
3464,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Turnover,2,1758
3465,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,544
3466,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,538
3468,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,203
3469,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,45
3470,31-50,Male,Unknown,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Overturning,2,49
3474,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,3286
3475,31-50,Unknown,1-2yr,Gravel roads,Dry,Daylight,Normal,No priority to pedestrian,1,3285
3476,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3852
3477,Under 18,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3853
3478,Unknown,Female,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3854
3479,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3752
3480,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1184
3481,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1842
3484,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,472
3494,31-50,Male,Above 10yr,Earth roads,Dry,Daylight,Normal,No priority to vehicle,2,162
3495,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,114
3496,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,339
3497,31-50,Male,Above 10yr,Earth roads,Dry,Daylight,Normal,Overtaking,2,317
3502,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3261
3503,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,682
3504,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3612
3505,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3613
3507,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1063
3511,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,648
3513,Unknown,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,466
3515,Unknown,Female,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2858
3516,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,131
3517,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1819
3519,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,364
3520,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1732
3521,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,431
3526,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2086
3527,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,433
3528,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,248
3529,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2866
3531,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,478
3533,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,3429
3534,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,3430
3535,Over 51,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,50
3539,Over 51,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2717
3543,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,1047
3545,Over 51,Male,Unknown,Gravel roads,Dry,Daylight,Normal,Moving Backward,2,1046
3547,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1181
3565,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Overturning,2,1194
3573,31-50,Male,Below 1yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,657
3574,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,319
3577,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,3035
3580,Unknown,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,982
3581,Unknown,Female,Above 10yr,Other,Dry,Daylight,Normal,No priority to vehicle,2,979
3582,31-50,Male,Above 10yr,Gravel roads,Dry,Daylight,Normal,Driving at high speed,2,346
3587,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1197
3590,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,3868
3591,31-50,Male,Unknown,Earth roads,Dry,Daylight,Normal,Overtaking,2,2099
3592,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1673
3593,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,173
3594,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,731
3596,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,3240
3600,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3817
3601,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,3720
3606,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,2661
3609,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,114
3610,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,709
3614,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2991
3615,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1740
3616,31-50,Male,Unknown,Other,Dry,Daylight,Normal,No priority to vehicle,2,1741
3617,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,3684
3618,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,3687
3619,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,76
3620,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,11
3623,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,180
3626,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,134
3629,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3743
3630,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3742
3635,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,973
3636,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,779
3637,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,778
3645,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,702
3653,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,2399
3654,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,163
3657,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1550
3660,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,2284
3661,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3496
3662,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3495
3667,Unknown,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2027
3668,Under 18,Male,Below 1yr,Asphalt roads,Wet or damp,Daylight,Raining,Getting off the vehicle improperly,2,558
3670,18-30,Male,Unknown,Other,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,3166
3671,Unknown,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3163
3672,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3480
3673,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3829
3674,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3830
3675,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Overtaking,2,733
3676,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,127
3677,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,394
3678,31-50,Male,Unknown,Other,Dry,Daylight,Unknown,No distancing,2,1058
3679,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Overtaking,2,1041
3680,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Driving carelessly,2,1052
3681,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Driving carelessly,2,43
3686,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1166
3689,Under 18,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,224
3690,Over 51,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights unlit,Normal,Changing lane to the right,1,2472
3695,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1867
3696,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1861
3697,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,382
3698,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,1860
3699,18-30,Male,Unknown,Earth roads,Dry,Daylight,Normal,Moving Backward,2,1876
3700,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1053
3703,18-30,Unknown,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2361
3704,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,0,298
3705,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2534
3711,Over 51,Male,1-2yr,Gravel roads,Dry,Daylight,Normal,Changing lane to the right,2,1011
3715,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,181
3716,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,34
3718,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,137
3720,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1484
3721,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1486
3722,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1497
3723,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,252
3724,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,393
3725,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,173
3726,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,3640
3727,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,172
3728,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,3642
3729,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2945
3730,Unknown,Female,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2942
3731,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,5
3733,18-30,Male,1-2yr,Other,Dry,Daylight,Normal,Changing lane to the left,2,87
3735,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overturning,2,396
3736,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2781
3737,Unknown,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,311
3738,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,962
3739,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,960
3740,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,3539
3741,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Overspeed,2,165
3742,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,209
3743,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,1013
3744,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1317
3745,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,271
3747,Over 51,Male,Unknown,Other,Wet or damp,Daylight,Raining,Driving under the influence of drugs,2,241
3748,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,242
3749,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Changing lane to the right,2,78
3753,Under 18,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,2126
3762,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,671
3763,Unknown,Female,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,2,3191
3772,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Drunk driving,2,3161
3774,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,1,3108
3777,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,788
3778,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,3421
3779,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,3422
3782,Over 51,Male,Unknown,Earth roads,Wet or damp,Daylight,Raining,Driving at high speed,2,1481
3783,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,1480
3784,Unknown,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,1479
3786,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,72
3787,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,71
3788,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,1,452
3792,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,722
3793,18-30,Unknown,1-2yr,Earth roads,Dry,Darkness - lights lit,Normal,Overturning,2,2163
3794,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2160
3795,31-50,Male,Below 1yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2159
3796,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,1,18
3797,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overturning,1,17
3798,31-50,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,1,1
3799,Over 51,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,3
3802,31-50,Male,Above 10yr,Gravel roads,Wet or damp,Daylight,Raining and Windy,Driving carelessly,2,3481
3810,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,633
3812,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Driving to the left,2,635
3813,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,636
3814,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,637
3815,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,2,638
3820,Unknown,Female,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,1,1862
3821,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,23
3822,Unknown,Female,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,94
3823,Unknown,Male,5-10yrs,Earth roads,Dry,Daylight,Normal,Changing lane to the left,2,3747
3825,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Moving Backward,2,616
3829,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,132
3831,Under 18,Male,1-2yr,Gravel roads,Wet or damp,Daylight,Windy,Driving carelessly,2,385
3833,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,No distancing,2,2921
3834,Under 18,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,1764
3835,Over 51,Male,2-5yrs,Other,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,189
3837,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,1055
3838,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,82
3839,Unknown,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,83
3841,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,439
3842,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the right,1,308
3845,Unknown,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,1,41
3848,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,231
3849,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Overturning,2,230
3850,Over 51,Male,2-5yrs,Gravel roads,Wet or damp,Darkness - lights lit,Normal,No distancing,1,1863
3851,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,1,1864
3853,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the right,2,2057
3854,Unknown,Male,Above 10yr,Other,Dry,Daylight,Normal,Changing lane to the left,2,614
3855,Unknown,Female,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Cloudy,No distancing,2,2231
3859,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1431
3860,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1436
3862,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,231
3866,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1308
3867,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,3664
3868,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,748
3872,Under 18,Male,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,No distancing,2,349
3873,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the left,2,2089
3875,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3201
3876,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3202
3878,18-30,Male,2-5yrs,Earth roads,Snow,Daylight,Fog or mist,Changing lane to the left,2,178
3882,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,2,768
3884,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Other,No distancing,1,3243
3888,Unknown,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,3487
3892,Over 51,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,1557
3893,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Turnover,2,1556
3899,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,996
3902,Unknown,Female,1-2yr,Asphalt roads,Wet or damp,Daylight,Other,Changing lane to the right,2,487
3907,Unknown,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,102
3908,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,253
3909,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,254
3919,18-30,Male,5-10yrs,Other,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,1,2135
3921,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,20
3922,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,2157
3923,Unknown,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,514
3930,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,183
3932,Unknown,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,1,2028
3933,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,2029
3935,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3605
3936,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3606
3938,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,516
3950,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,352
3952,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,351
3958,18-30,Male,Unknown,Gravel roads,Dry,Daylight,Normal,Moving Backward,2,124
3959,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,123
3960,31-50,Male,Unknown,Gravel roads,Dry,Daylight,Normal,No priority to pedestrian,2,125
3962,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,0,2751
3970,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Driving carelessly,2,1283
3973,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,2343
3988,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the right,2,726
3991,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2481
3992,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,2476
3993,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,935
3994,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,195
3995,Unknown,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overloading,2,2856
3996,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2846
3997,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,2847
3998,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2715
4009,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,2828
4016,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3689
4019,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Moving Backward,2,507
4020,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Moving Backward,2,2407
4026,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,11
4029,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Windy,No distancing,2,38
4031,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,50
4033,Unknown,Female,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Other,No priority to vehicle,2,48
4042,31-50,Male,Below 1yr,Asphalt roads,Dry,Daylight,Other,No priority to pedestrian,2,45
4043,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Other,Changing lane to the right,2,18
4045,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the left,2,1262
4046,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the left,2,6
4048,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2
4049,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,Driving under the influence of drugs,2,22
4050,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Unknown,No priority to pedestrian,2,4
4051,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,11
